,Município [-],PIB per capita - R$ [2021],População no último censo - pessoas [2022]
0,Abadia dos Dourados,25174.26,6272
1,Abaeté,23266.1,22675
2,Abre Campo,19553.86,13927
3,Acaiaca,16247.06,3909
4,Açucena,17888.2,8943
5,Água Boa,14421.07,12589
6,Água Comprida,115725.51,2108
7,Aguanil,20762.54,4357
8,Águas Formosas,14913.12,18448
9,Águas Vermelhas,17329.28,14037
10,Aimorés,25402.54,25269
11,Aiuruoca,21608.49,6233
12,Alagoa,17958.99,2749
13,Albertina,51065.05,2952
14,Além Paraíba,27422.83,30717
15,Alfenas,43049.74,78970
16,Alfredo Vasconcelos,21364.59,6931
17,Almenara,15924.96,40364
18,Alpercata,12700.99,6903
19,Alpinópolis,26133.79,18300
20,Alterosa,20357.31,13915
21,Alto Caparaó,16354.23,5795
22,Alto Rio Doce,16798.64,10891
23,Alvarenga,14445.67,3975
24,Alvinópolis,22478.72,15059
25,Alvorada de Minas,17990.28,4159
26,Amparo do Serra,12045.13,4541
27,Andradas,28386.06,40553
28,Cachoeira de Pajeú,13262.75,9110
29,Andrelândia,23950.85,11927
30,Angelândia,16818.81,7718
31,Antônio Carlos,21088.32,11095
32,Antônio Dias,96894.13,9219
33,Antônio Prado de Minas,18117.22,1538
34,Araçaí,25422.8,2181
35,Aracitaba,15253.67,2049
36,Araçuaí,14163.67,34297
37,Araguari,49322.18,117808
38,Arantina,31861.03,2915
39,Araponga,14443.79,8048
40,Araporã,185156.76,8479
41,Arapuá,60936.37,2631
42,Araújos,49809.64,9199
43,Araxá,82570.25,111691
44,Arceburgo,31547.24,9177
45,Arcos,57713.61,41416
46,Areado,20234.71,13881
47,Argirita,14954.09,2688
48,Aricanduva,12645.43,4719
49,Arinos,17849.84,17272
50,Astolfo Dutra,20339.56,14138
51,Ataléia,15926.39,13736
52,Augusto de Lima,18423.57,4538
53,Baependi,19795.44,18366
54,Baldim,25871.06,7492
55,Bambuí,32549.38,23546
56,Bandeira,12476.94,4741
57,Bandeira do Sul,14907.61,5943
58,Barão de Cocais,73393.52,30778
59,Barão do Monte Alto,11883.74,4964
60,Barbacena,25335.18,125317
61,Barra Longa,16702.85,5666
62,Barroso,29022.49,20080
63,Bela Vista de Minas,55337.41,10167
64,Belmiro Braga,17992.57,3244
65,Belo Horizonte,41818.32,2315560
66,Belo Oriente,77527.64,23928
67,Belo Vale,36243.16,8627
68,Berilo,9551.5,9826
69,Bertópolis,11671.08,4451
70,Berizal,12734.93,4201
71,Betim,73624.78,411846
72,Bias Fortes,12668.63,3361
73,Bicas,18998.7,13978
74,Biquinhas,25978.67,2383
75,Boa Esperança,26261.54,39848
76,Bocaina de Minas,15766.67,5348
77,Bocaiúva,24252.97,48032
78,Bom Despacho,35269.0,51737
79,Bom Jardim de Minas,19828.35,6783
80,Bom Jesus da Penha,45924.06,4474
81,Bom Jesus do Amparo,25935.64,5631
82,Bom Jesus do Galho,11568.99,14536
83,Bom Repouso,15221.01,12649
84,Bom Sucesso,25271.28,17151
85,Bonfim,19772.69,7434
86,Bonfinópolis de Minas,84995.13,5528
87,Bonito de Minas,8784.49,10204
88,Borda da Mata,18923.96,17404
89,Botelhos,21834.65,14828
90,Botumirim,12103.05,5790
91,Brasilândia de Minas,24489.37,15020
92,Brasília de Minas,11627.4,32025
93,Brás Pires,11758.46,4260
94,Braúnas,44982.9,4441
95,Brazópolis,13786.69,14246
96,Brumadinho,112233.99,38915
97,Bueno Brandão,21921.18,10911
98,Buenópolis,17474.86,9150
99,Bugre,11937.36,4041
100,Buritis,46229.61,24030
101,Buritizeiro,26118.73,23910
102,Cabeceira Grande,67955.62,6627
103,Cabo Verde,20665.25,11410
104,Cachoeira da Prata,14487.2,3693
105,Cachoeira de Minas,46258.02,11883
106,Cachoeira Dourada,99124.77,2315
107,Caetanópolis,26561.99,11435
108,Caeté,23695.84,38776
109,Caiana,15876.73,5304
110,Cajuri,24569.91,4088
111,Caldas,23127.61,14217
112,Camacho,24964.43,2838
113,Camanducaia,45365.42,26097
114,Cambuí,62049.99,29536
115,Cambuquira,28950.98,12313
116,Campanário,14298.98,2923
117,Campanha,26097.7,15935
118,Campestre,23104.32,20696
119,Campina Verde,27169.11,18011
120,Campo Azul,10616.58,3714
121,Campo Belo,22905.64,52277
